name,numerator,denominator,category,in_clustering,first_season
fwd_pass_share,fwd_pass,total_pass,passing,1,
backward_pass_share,backward_pass,total_pass,passing,1,
long_ball_share,total_long_balls,total_pass,passing,1,
cross_share,total_cross,total_pass,passing,1,
through_ball_share,total_through_ball,total_pass,passing,1,
fwd_zone_pass_share,total_fwd_zone_pass,total_pass,passing,1,
pass_accuracy,accurate_pass,total_pass,passing,0,
final_third_touch_share,touches_in_final_third,touches,territory,1,
opp_box_touch_share,touches_in_opp_box,touches,territory,1,
carry_rate,carries,touches,territory,1,2019-20
progressive_carry_share,progressive_carries,carries,territory,1,2019-20
shots_per_touch,total_scoring_att,touches,shooting,1,
ibox_shot_share,att_ibox_target+att_ibox_miss+att_ibox_blocked+att_ibox_goal+att_ibox_post,total_scoring_att,shooting,1,
head_shot_share,att_hd_total,total_scoring_att,shooting,1,
aerial_duel_share,aerial_won+aerial_lost,duel_won+duel_lost,duels,1,
aerial_win_pct,aerial_won,aerial_won+aerial_lost,duels,0,
tackle_share,total_tackle,D,duels,1,
clearance_share,effective_clearance,D,duels,1,
recovery_share,ball_recovery,D,duels,1,
press_height,poss_won_att_3rd,poss_won_att_3rd+poss_won_mid_3rd+poss_won_def_3rd,duels,1,
take_on_rate,total_contest,touches,on_the_ball,1,
take_on_success,won_contest,total_contest,on_the_ball,0,
loss_rate,dispossessed+unsuccessful_touch,touches,on_the_ball,1,
pass_share_of_team,total_pass,team_total_pass,team_share,1,
shot_share_of_team,total_scoring_att,team_total_scoring_att,team_share,1,
touch_share_of_team,touches,team_touches,team_share,1,
